id,longitude,latitude
178,103.85426,1.33976
180,103.85513,1.37311
183,103.85644,1.31097
184,103.85710,1.29013
185,103.85777,1.34316
186,103.85823,1.36546
187,103.85968,1.32278
188,103.85981,1.30129
189,103.86021,1.28255
190,103.86094,1.35131
191,103.86353,1.30600
192,103.86420,1.37081
193,103.86431,1.34511
194,103.86684,1.29685
195,103.86690,1.31211
196,103.86732,1.35525
197,103.86841,1.32875
198,103.86987,1.37014
199,103.87066,1.29705
200,103.87069,1.34902
202,103.87121,1.31490
203,103.87265,1.38793
204,103.87442,1.32199
205,103.87488,1.36958
206,103.87498,1.30142
207,103.87686,1.35245
208,103.87780,1.31238
209,103.87836,1.38994
210,103.87903,1.33148
211,103.87909,1.37413
212,103.88145,1.31325
213,103.88259,1.35846
214,103.88313,1.33058
215,103.88318,1.37661
216,103.88352,1.39830
217,103.88371,1.29484
218,103.88546,1.31382
219,103.88677,1.38182
220,103.88691,1.36063
221,103.88724,1.33058
222,103.89028,1.35413
223,103.89040,1.38737
224,103.89051,1.37102
225,103.89072,1.31480
226,103.89076,1.33378
227,103.89405,1.38571
228,103.89439,1.31115
229,103.89461,1.37075
231,103.89690,1.39646
232,103.89720,1.30170
233,103.89785,1.33175
234,103.89851,1.31643
235,103.89875,1.37011
237,103.89992,1.38826
238,103.90114,1.35549
239,103.90134,1.30370
240,103.90262,1.32276
241,103.90290,1.39855
242,103.90446,1.36144
243,103.90503,1.30580
244,103.90582,1.38619
245,103.90668,1.33104
246,103.90813,1.31680
247,103.90816,1.39800
248,103.91061,1.30570
249,103.91098,1.33506
250,103.91246,1.39188
251,103.91253,1.32074
252,103.91517,1.33214
254,103.91627,1.39792
255,103.91666,1.31256
256,103.91941,1.32775
257,103.92306,1.32723
258,103.92575,1.31331
259,103.92588,1.33717
260,103.92823,1.34965
261,103.92949,1.30583
262,103.92949,1.33254
263,103.93145,1.37373
264,103.93262,1.35145
265,103.93308,1.32519
268,103.93538,1.37796
269,103.93544,1.30719
270,103.93666,1.35696
271,103.93677,1.33609
272,103.94006,1.37843
273,103.94011,1.31488
274,103.94073,1.33326
275,103.94165,1.35167
276,103.94361,1.38411
277,103.94508,1.31761
278,103.94511,1.33650
279,103.94536,1.35376
280,103.94647,1.37391
281,103.94881,1.34816
282,103.95006,1.31154
283,103.95100,1.36091
284,103.95221,1.34212
285,103.95236,1.37509
286,103.95377,1.32213
287,103.95597,1.37768
288,103.95598,1.35328
289,103.95863,1.36660
290,103.96014,1.35172
292,103.96112,1.33585
293,103.96128,1.38023
294,103.96248,1.36511
295,103.96450,1.35271
296,103.96718,1.37190
297,103.96809,1.35133
298,103.97096,1.33904
299,103.97918,1.33718
300,103.98331,1.34246
302,103.98572,1.35433
305,103.98877,1.36264
319,103.74791,1.32045
322,103.76502,1.43309
325,103.78916,1.33254
327,103.79326,1.28926
330,103.79862,1.42677
331,103.80833,1.44264
333,103.80928,1.41396
336,103.84720,1.27513
342,103.97091,1.37055
352,103.82486,1.42551
354,103.85770,1.38914
374,103.80252,1.45734
377,103.84112,1.43061
395,103.81837,1.39715
397,103.82605,1.38604
418,103.90615,1.41284
427,103.82053,1.32040
428,103.85395,1.39131
